Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
0.3818,Wed Nov 29 12:24:55 +0000 2017,0.055,0.827,0.118,@BBCNews,RT @bbclaurak: Ken Clarke 1st to raise Brexit Bill - asking for a welcome to the bill saying it’s been a ‘bargain’ to pay so far,113
0.0,Wed Nov 29 12:19:10 +0000 2017,0.0,1.0,0.0,@BBCNews,"""What are you doing to our NHS?"" - Shadow Foreign Secretary @EmilyThornberry asks @DamianGreen #PMQs… https://t.co/GgkG3BTZFN",114
0.0,Wed Nov 29 12:13:27 +0000 2017,0.0,1.0,0.0,@BBCNews,Knowsley Council to sell off 10% off parks for development https://t.co/wWWHxMpjIO,115
0.0,Wed Nov 29 12:07:44 +0000 2017,0.0,1.0,0.0,@BBCNews,First Secretary of State @DamianGreen takes #PMQs today and starts by congratulating Prince Harry and Meghan Markle… https://t.co/CiI7CgVEI6,116
0.0,Wed Nov 29 11:51:45 +0000 2017,0.0,1.0,0.0,@BBCNews,Loan sharks 'hang around the school gates' https://t.co/Q5LlcgDchn,117
0.4215,Wed Nov 29 11:48:58 +0000 2017,0.0,0.872,0.128,@BBCNews,"""Now is the time to get the show on the road"" - Foreign Secretary @BorisJohnson hopes trade relationship talks with… https://t.co/CEJgfTu3jS",118
0.2732,Wed Nov 29 11:33:28 +0000 2017,0.195,0.602,0.203,@BBCNews,Court backs salesman's claim for 13 years of holiday pay https://t.co/3toDX9Mqvd,119
0.0,Wed Nov 29 11:23:48 +0000 2017,0.0,1.0,0.0,@BBCNews,"From Wallis to Meghan - the Royal Family's changing attitudes to marriage and divorce

https://t.co/Kx6VSURFLg https://t.co/roMOFRcKmu",120
0.3818,Wed Nov 29 15:23:42 +0000 2017,0.0,0.89,0.11,@CBSNews,"""Right now, we're focused on making this place works the right way,"" Speaker Ryan says when asked about women who h… https://t.co/IYnhdYwtzM",1
0.0,Wed Nov 29 15:21:11 +0000 2017,0.0,1.0,0.0,@CBSNews,WATCH LIVE: House Speaker Paul Ryan and GOP leaders hold a news conference ahead of the Senate's vote on the GOP ta… https://t.co/zBNXbr0ZAY,2
0.5859,Wed Nov 29 15:05:01 +0000 2017,0.0,0.798,0.202,@CBSNews,"Sen. James Lankford says he is supportive of a GOP tax bill with ""backstops"" to protect against adding too much to… https://t.co/ypdypVu1bG",3
0.0,Wed Nov 29 14:50:01 +0000 2017,0.0,1.0,0.0,@CBSNews,"Rocked by allegations of sexual misconduct, the House is set to vote on legislation to require anti-sexual harassme… https://t.co/bB604KWPqK",4
-0.5994,Wed Nov 29 14:35:02 +0000 2017,0.187,0.813,0.0,@CBSNews,Final hearing at a UN war crimes tribunal dramatically halted when a former Bosnian Croat military chief claimed to… https://t.co/8aMV1Kx4sT,5
0.3041,Wed Nov 29 14:20:01 +0000 2017,0.0,0.862,0.138,@CBSNews,Consumers appear to be spending more this holiday season -- but are they? https://t.co/2qJFdwY2ui https://t.co/U96K524Kdr,6
-0.8016,Wed Nov 29 14:05:01 +0000 2017,0.406,0.594,0.0,@CBSNews,FAA research finds drone collisions are more damaging than bird strikes to airplanes: https://t.co/ml6UBT1A1x https://t.co/k2gDXNK3jh,7
0.4019,Wed Nov 29 13:47:12 +0000 2017,0.0,0.876,0.124,@CBSNews,Bruno Mars is making his primetime special debut on @CBS Wednesday night with 24K Magic Live at the Apollo.… https://t.co/0MICx86P5G,8
-0.7003,Wed Nov 29 13:46:30 +0000 2017,0.254,0.746,0.0,@CBSNews,"NBC News has fired longtime ""Today"" show host Matt Lauer after a colleague came forward with a detailed complaint o… https://t.co/lpQeC2J9la",9
0.0,Wed Nov 29 13:37:45 +0000 2017,0.0,1.0,0.0,@CBSNews,In the ongoing @CBSThisMorning series “Issues That Matter” we’re taking a closer look at the opioid epidemic. Retir… https://t.co/RouAAfayLu,10
